,Division,Year Range,1,2,3,4,5
0,AGFD,2000-2010,protein* (45.4%),agricultur* (11.4%),food (10.5%),nut* (4.0%),fruit* (3.6%)
1,AGRO,2000-2010,soil (46.3%),crop* (16.9%),groundwater (16.1%),metabolite* (4.6%),surface water (4.2%)
2,ANYL,2000-2010,sensor* (57.3%),characterization* (11.8%),spectroscopy (9.5%),spectrometry (4.6%),groundwater (3.9%)
3,BIOT,2000-2010,biochemi* (40.7%),biophysic* (17.1%),systems biology (12.5%),biotechnology (12.0%),bioprocess* (5.2%)
4,BIOL,2000-2010,drug discovery (32.2%),protein folding (31.5%),cytochrome* (13.9%),biosynthesis (11.7%),biomolecule* (6.0%)
5,BMGT,2000-2010,chem* compan* (75.0%),chem* enterprise* (25.0%),chem* business* (0.0%),chem* research and development (0.0%),None
6,CARB,2000-2010,glycoprotein* (50.2%),carbohydrate* (33.2%),glycan* (8.5%),oligosaccharide* (5.9%),glycobiology (1.0%)
7,CATL,2000-2010,cataly* (73.3%),metal oxides (13.8%),surface chemistry (5.3%),photocataly* (2.7%),surface reaction* (1.4%)
8,CELL,2000-2010,cellulose (45.7%),polysaccharide* (33.1%),lignin (13.1%),hemp (4.5%),lignocellulos* (2.9%)
9,CHED,2000-2010,chem* class* (84.8%),chem* communication* (8.7%),lab* safety (4.3%),chem* student* (2.2%),chem* educat* (0.0%)
10,CHAS,2000-2010,chem* safety (30.8%),environmental health and safety (30.8%),chem* regulations (23.1%),lab* safety (15.4%),None
11,CINF,2000-2010,drug discovery (57.7%),bio* modeling (11.0%),computational chemistry (10.3%),cheminformatic* (7.6%),chemical info* (5.9%)
12,TOXI,2000-2010,toxi* (99.5%),chemical exposure* (0.5%),antibody drug conjugate* (0.0%),None,None
13,CHAL,2000-2010,chem* in commerce (100.0%),chem* patent* (0.0%),pharmaceutical patent* (0.0%),None,None
14,COLL,2000-2010,thin film* (22.8%),adsorption (14.7%),tribolog* (13.1%),nanoparticle* (8.0%),emuls* (5.8%)
15,COMP,2000-2010,drug design (22.7%),protein database* (17.8%),molecular model* (15.6%),drug discovery (14.9%),quantum comp* (8.3%)
16,ENFL,2000-2010,fuel* (25.9%),petroleum (15.2%),cataly* (9.2%),batter* (8.3%),energy efficiency (5.1%)
17,ENVR,2000-2010,*sensor* (62.9%),soil* (11.9%),water quality (4.4%),cataly* (3.7%),wastewater (2.4%)
18,FLUO,2000-2010,fluorine* (100.0%),radiopharmaceutical chem* (0.0%),None,None,None
19,GEOC,2000-2010,groundwater (43.5%),mining (31.6%),*geochem* (11.3%),anthropogenic (6.9%),hydraulic frac* (1.9%)
20,HIST,2000-2010,evolution of chem* (50.0%),chem* histor* (25.0%),history of chem* (25.0%),None,None
21,I&EC,2000-2010,water purification (37.1%),industrial chem* (33.5%),rare earth element* (16.8%),material* recovery (3.6%),molten salt* (3.0%)
